Scientific name,id,id_intl,Author,Phyllum,Embranchement,Sous-Embranchement,Classe,Sous-Classe,Infra-classe,Order,Sous-Ordre,Infra-Ordre,Super-Famille,Family,Sub family,Genus,Species,Sub species,English name,French name,Malagasy name,Comoros name
Phaner electromontis,33,,"Groves and Tattersall, 1991",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Phaner,electromontis,,Amber mountain fork-marked lemur,Lémurien à fourche de la montagne d'Ambre,
Lepilemur mustelinus,34,,"I. Geoffroy, 1851",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, mustelinus,,Weasel sportive lemur,Lépilémur,Hataka
Lepilemur mustelinus,34,,"I. Geoffroy, 1851",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, mustelinus,,Greater sportive lemur,,Trangalava
Lepilemur mustelinus,34,,"I. Geoffroy, 1851",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, mustelinus,,Weasel lemur,,Kotrika
Lepilemur mustelinus,34,,"I. Geoffroy, 1851",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, mustelinus,,Greater weasel lemur,,Fitiliky
Lepilemur mustelinus,34,,"I. Geoffroy, 1851",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, mustelinus,,,,Kotriana
Lepilemur betsileo,35,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,betsileo,,Betsileo sportive lemur,Lépilémur du betsileo,Hataka
Lepilemur betsileo,35,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,betsileo,,,,Trangalava
Lepilemur betsileo,35,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,betsileo,,,,Kotrika
Lepilemur betsileo,35,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,betsileo,,,,Fitiliky
Lepilemur betsileo,35,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,betsileo,,,,Kotriana
Lepilemur microdon,36,,"(Forsyth Major, 1894)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,microdon,,Small-toothed sportive lemur,Lépilémur aux petits dents,Fitiliky
Lepilemur microdon,36,,"(Forsyth Major, 1894)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,microdon,,Small-toothed weasel lemur,,Hataka
Lepilemur microdon,36,,"(Forsyth Major, 1894)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,microdon,,,,Trangalavaka
Lepilemur microdon,36,,"(Forsyth Major, 1894)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,microdon,,,,Kotrika
Lepilemur jamesorum,37,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,jamesorum,,Manombo sportive lemur,Lépilémur de Manombo,Hataka
Lepilemur jamesorum,37,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,jamesorum,,James' sportive lemur,Lépilémur de James,Trangalava
Lepilemur jamesorum,37,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,jamesorum,,,,Kotrika
Lepilemur jamesorum,37,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,jamesorum,,,,Fitiliky
Lepilemur jamesorum,37,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,jamesorum,,,,Kotriana
Lepilemur wrightae,38,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, wrightae,,Wright's sportive lemur,Lépilémur de Wright,Hataka
Lepilemur wrightae,38,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, wrightae,,Kalambatritra sportive lemur,,Trangalava
Lepilemur wrightae,38,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, wrightae,,,,Kotrika
Lepilemur wrightae,38,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, wrightae,,,,Fitiliky
Lepilemur wrightae,38,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, wrightae,,,,Kotriana
Lepilemur fleuretae,39,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,fleuretae,,Andohahela sportive lemur,Lépilémur d'Andohahela,Hataka
Lepilemur fleuretae,39,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,fleuretae,,Fleurette's sportive lemur,Lépilémur de Fleurette,Trangalava
Lepilemur fleuretae,39,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,fleuretae,,,,Kotrika
Lepilemur fleuretae,39,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,fleuretae,,,,Fitiliky
Lepilemur fleuretae,39,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,fleuretae,,,,Kotriana
Lepilemur hollandorum,40,,"Ramaromilanto et al., 2009",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, hollandorum,,Mananara-nord sportive lemur,Lépilémur de Mananara-nord,Hataka
Lepilemur hollandorum,40,,"Ramaromilanto et al., 2009",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, hollandorum,,Holland's sportive lemur,,Trangalava
Lepilemur hollandorum,40,,"Ramaromilanto et al., 2009",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, hollandorum,,,,Kotrika
Lepilemur hollandorum,40,,"Ramaromilanto et al., 2009",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, hollandorum,,,,Fitiliky
Lepilemur hollandorum,40,,"Ramaromilanto et al., 2009",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, hollandorum,,,,Kotriana
Lepilemur seali,41,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,seali,,Seal's sportive lemur,Lépilémur de Seal,Tsitsihy (Makira)
Lepilemur seali,41,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,seali,,Anjanaharibe-sud sportive lemur,,
Lepilemur scottorum,42,,"Lei et al., 2008",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, scottorum,,Masoala sportive lemur,Lépilémur de Masoala,Hataka
Lepilemur scottorum,42,,"Lei et al., 2008",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, scottorum,,Scott's sportive lemur,Lépilémur de Scott,Trangalava
Lepilemur scottorum,42,,"Lei et al., 2008",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, scottorum,,,,Kotrika
Lepilemur scottorum,42,,"Lei et al., 2008",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, scottorum,,,,Fitiliky
Lepilemur scottorum,42,,"Lei et al., 2008",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, scottorum,,,,Kotriana
Lepilemur milanoii,43,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,milanoii,,Daraina sportive lemur,Lépilémur de Daraina,Hataka
Lepilemur milanoii,43,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,milanoii,,,,Trangalava
Lepilemur milanoii,43,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,milanoii,,,,Kotrika
Lepilemur milanoii,43,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,milanoii,,,,Fitiliky
Lepilemur milanoii,43,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,milanoii,,,,Kotriana
Lepilemur ankaranensis,44,,"Rumpler and Albignac, 1975",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, ankaranensis,,Ankarana sportive lemur,Lépilémur d'Ankarana,Valiha
Lepilemur ankaranensis,44,,"Rumpler and Albignac, 1975",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, ankaranensis,,Ankarana weasel lemur,,
Lepilemur septentrionalis,45,,"Rumpler and Albignac, 1975",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, septentrionalis,,Sahafary sportive lemur,Lépilémur du nord,Fitsidika
Lepilemur septentrionalis,45,,"Rumpler and Albignac, 1975",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, septentrionalis,,Northern sportive lemur,Lépilémur du Sahafary,Songiky
Lepilemur septentrionalis,45,,"Rumpler and Albignac, 1975",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, septentrionalis,,Northern weasel lemur,Lépilémur septentrional,Mahiabeala
Lepilemur dorsalis,46,,"Gray, 1871",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,dorsalis,,Gray's sportive lemur,Lépilémur de Gray,Apongy
Lepilemur dorsalis,46,,"Gray, 1871",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,dorsalis,,Back-striped sportive lemur,Lépilémur à dos gris,Fitsidika
Lepilemur dorsalis,46,,"Gray, 1871",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,dorsalis,,Gray-backed sportive lemur,,
Lepilemur tymerlachsonorum,47,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,tymerlachsonorum,,Nosy Be sportive lemur,Lépilémur de Nosy Be,Fitsidika
Lepilemur tymerlachsonorum,48,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,tymerlachsonorum,,Nosy Be weasel lemur,,Apongy
Lepilemur mittermeieri,48,,"Rabarivola et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,mittermeieri,,Mittermeier's sportive lemur,Lépilémur de Mittermeier,Apongy
Lepilemur mittermeieri,49,,"Rabarivola et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,mittermeieri,,,,Fitsidika
Lepilemur sahamalazensis,49,,"Andriaholinirina et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, sahamalazensis,,Sahamalaza sportive lemur,Lépilémur de Sahamalaza,Fitsidiky
Lepilemur grewcockorum,50,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, grewcockorum,,Anjiamangirana sportive lemur,Lépilémur d'Anjiamangirana,Repahaka
Lepilemur grewcockorum,50,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, grewcockorum,,Grewcock's sportive lemur,Lépilémur de Grewcock,Boenga
Lepilemur grewcockorum,50,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, grewcockorum,,,,Boengy
Lepilemur grewcockorum,50,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, grewcockorum,,,,Kitrontro
Lepilemur grewcockorum,50,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur, grewcockorum,,,,Kitanta
Lepilemur otto,51,,"Craul et al., 2007",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,otto,,Ambodimahabibo sportive lemur,Lépilémur d'Otto,Repahaka
Lepilemur otto,51,,"Craul et al., 2007",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,otto,,Otto's sportive lemur,Lépilémur d'Ambodimahabibo,Boenga
Lepilemur otto,51,,"Craul et al., 2007",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,otto,,,,Boengy
Lepilemur otto,51,,"Craul et al., 2007",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,otto,,,,Kitrontro
Lepilemur otto,51,,"Craul et al., 2007",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,otto,,,,Kitanta
Lepilemur edwardsi,52,,"(Forsyth Major, 1894)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,edwardsi,,Milne-Edwards' sportive lemur,Lépilémur de Milne-Edwards,Repahaka
Lepilemur edwardsi,52,,"(Forsyth Major, 1894)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,edwardsi,,Milne-Edwards' weasel lemur,,Boenga
Lepilemur edwardsi,52,,"(Forsyth Major, 1894)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,edwardsi,,,,Boengy
Lepilemur edwardsi,52,,"(Forsyth Major, 1894)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,edwardsi,,,,Kitrontro
Lepilemur edwardsi,52,,"(Forsyth Major, 1894)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,edwardsi,,,,Kitanta
Lepilemur aeeclis,53,,"Andriaholinirina et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,aeeclis,,Antafia sportive lemur,Lépilémur d'Antafia,Boengy
Lepilemur aeeclis,53,,"Andriaholinirina et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,aeeclis,,AEECL's sportive lemur,,
Lepilemur ahmansonorum,54,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,ahmansonorum,,Tsiombikibo sportive lemur,Lépilémur d'Ahmanson,Boengy
Lepilemur ahmansonorum,54,,"Louis et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,LEPILEMURIDAE,,Lepilemur,ahmansonorum,,Ahmanson's sportive lemur,Lépilémur de Tsiombikibo,
